date,year,month,hour,irr,temp,value
2021/1/1 00:15,2021,1,0,0.0,1.92,0.0
2021/1/1 01:15,2021,1,1,0.0,2.72,0.0
2021/1/1 02:15,2021,1,2,0.0,2.74,0.0
2021/1/1 03:15,2021,1,3,0.0,1.9,0.0
2021/1/1 04:15,2021,1,4,0.0,0.46,0.0
2021/1/1 05:15,2021,1,5,0.0,0.0,0.0
2021/1/1 06:15,2021,1,6,0.0,0.0,0.0
2021/1/1 07:15,2021,1,7,0.8,0.0,0.0
2021/1/1 08:15,2021,1,8,71.61,0.7,583.4
2021/1/1 09:15,2021,1,9,209.52,5.69,1703.0
2021/1/1 10:15,2021,1,10,389.77,6.92,2376.2
2021/1/1 11:15,2021,1,11,447.21,8.84,2376.2
2021/1/1 12:15,2021,1,12,447.21,10.66,2376.2
2021/1/1 13:15,2021,1,13,447.21,12.13,2282.4
2021/1/1 14:15,2021,1,14,404.2,12.83,2282.4
2021/1/1 15:15,2021,1,15,404.2,13.73,2095.2
2021/1/1 16:15,2021,1,16,404.2,14.14,1151.9
2021/1/1 17:15,2021,1,17,202.03,13.8,171.5
2021/1/1 18:15,2021,1,18,0.0,10.55,0.0
2021/1/1 19:15,2021,1,19,0.0,8.3,0.0
2021/1/1 20:15,2021,1,20,0.0,6.95,0.0
2021/1/1 21:15,2021,1,21,0.0,7.65,0.0
2021/1/1 22:15,2021,1,22,0.0,5.0,0.0
2021/1/1 23:15,2021,1,23,0.0,4.32,0.0
2021/1/2 00:15,2021,1,0,0.0,4.23,0.0
2021/1/2 01:15,2021,1,1,0.0,2.0,0.0
2021/1/2 02:15,2021,1,2,0.0,1.0,0.0
2021/1/2 03:15,2021,1,3,0.0,0.4,0.0
2021/1/2 04:15,2021,1,4,0.0,0.0,0.0
2021/1/2 05:15,2021,1,5,0.0,0.0,0.0
2021/1/2 06:15,2021,1,6,0.0,0.0,0.0
2021/1/2 07:15,2021,1,7,0.35,0.0,0.0
2021/1/2 08:15,2021,1,8,75.1,1.48,589.3
2021/1/2 09:15,2021,1,9,200.95,5.44,1694.0
2021/1/2 10:15,2021,1,10,391.33,8.83,2331.0
