,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),79.14726350501951,1318.022712911423,1029.1651379519894,863.4227505133907,201.1247769689937,391.55848166297596
TCL(PV),78.28678381945505,1301.6245566596065,1019.8931935388857,855.5339058615473,199.1872452828515,388.69755390235935
E2E (PV),81.30323590192464,1347.0359320799328,1044.3973993199766,879.4790623934663,223.96034938247126,417.6230499121946
ECL(PV),85.32251492072061,1406.2459805777983,1088.259368727882,913.167275897888,245.66419319156583,449.66190211740684
E2E + ECL(PV),86.47704823938405,1421.700554718822,1096.2877326856847,922.7631436656619,255.0490787878031,460.5031950921678
Original(Load),55.17489678449376,1081.7148900544423,815.998690356973,627.4647861913788,135.8428015212379,179.6123745380884
TCL(Load),53.175894947153175,1012.4172835688096,773.079004438927,600.7127226175605,131.60213463532662,174.26223680590928
E2E (Load),52.83702399272013,1005.5799392904282,769.5661909567975,598.0703952871079,129.35262992212967,168.7629310411421
ECL (Load),49.563259766555326,896.4486956871077,686.6455889601879,551.5806740337682,131.6577601913462,170.41421656791385
E2E+ECL (Load),50.07495690225905,895.56002173168,686.6620669393315,555.692183032465,133.84862055830965,172.26982463103792
