,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),92.8497084950532,1526.7842885477692,1186.660388161265,1010.8815850661902,242.47543837918977,468.3304724599669
TCL(PV),80.18543765513407,1126.526995968279,941.7215829046781,836.2778066720076,217.35102492804856,410.70664260498944
E2E (PV),94.69823775172914,1600.6955892329063,1225.2324379165468,1036.2860084016718,246.05439666199308,477.24410639611483
ECL(PV),94.44105646944732,1593.8037329345993,1220.8806885218467,1032.983011110643,245.4751610615503,475.5340104362693
E2E + ECL(PV),95.83990900423365,1645.8672276721877,1249.0210136002895,1051.8017060929562,248.3207999739028,481.87183496172923
Original(Load),56.84551640408608,940.3171369122082,760.4488588272129,646.598610818332,142.96560995128948,189.21473035970718
TCL(Load),56.7857875118056,964.7126086130896,779.0788745055135,659.302591544127,140.0466002657954,185.75605144158274
E2E (Load),58.74618275284561,937.3669839068508,762.8247951974066,652.4632367215969,151.74255051223872,196.43159196331226
ECL (Load),59.381574066829515,940.3982932148865,765.9539796803364,655.4703381217724,154.6387467977673,199.07709116469687
E2E+ECL (Load),61.31225881705964,943.395433639725,771.9184101243708,664.683749023522,162.4663562887191,206.1447833147404
